date,company,program,revenue
2016-03-01,SBS MTV,더 쇼,
2016-03-02,MBC M,쇼 챔피언,
2016-03-03,Mnet,엠카운트다운,
2016-03-04,KBS2,뮤직뱅크,
2016-03-05,MBC,음악중심,
2016-03-06,SBS,인기가요,
2016-03-08,SBS MTV,더 쇼,
2016-03-09,MBC M,쇼 챔피언,
2016-03-10,Mnet,엠카운트다운,
2016-03-11,KBS2,뮤직뱅크,
2016-03-11,Arirang TV,심플리케이팝,
2016-03-12,MBC,음악중심,
2016-03-13,SBS,인기가요,
2016-03-13,KBS2,출발 드림팀,
2016-03-15,SBS MTV,더 쇼,
2016-03-16,MBC M,쇼 챔피언,
2016-03-17,Mnet,엠카운트다운,
2016-03-18,KBS2,뮤직뱅크,
2016-03-18,Arirang TV,심플리케이팝,
2016-03-19,MBC,음악중심,
2016-03-20,SBS,인기가요,
2016-03-22,SBS MTV,더 쇼,
2016-03-22,SBS,놀라운 대회 스타킹,"  330,000 "
2016-03-23,MBC M,쇼 챔피언,
2016-03-25,KBS2,뮤직뱅크,
2016-03-25,Arirang TV,심플리케이팝,
2016-03-26,MBC,음악중심,
2016-03-29,SBS MTV,더 쇼,
2016-03-29,KBS2,우리동네 예체능,
2016-03-31,Mnet,엠카운트다운,
2016-04-01,KBS2,뮤직뱅크,
2016-04-01,Arirang TV,심플리케이팝,
2016-04-03,SBS,인기가요,
2016-04-05,SBS MTV,더 쇼,
2016-04-06,MBC M,쇼 챔피언,
2016-04-07,Mnet,엠카운트다운,
2016-04-08,KBS2,뮤직뱅크,
2016-04-08,Arirang TV,심플리케이팝,
2016-04-09,MBC,음악중심,
2016-04-10,SBS,인기가요,
2016-04-12,SBS MTV,더 쇼,
2016-04-15,Arirang TV,심플리케이팝,
2016-04-16,MBC,음악중심,
2016-04-22,KBS2,뮤직뱅크,
2016-04-22,Arirang TV,심플리케이팝,
2016-04-26,SBS MTV,더 쇼,
2016-04-27,MBC M,쇼 챔피언,
2016-04-28,Mnet,엠카운트다운,
2016-04-29,SBS MTV,더 쇼,
2016-05-01,SBS,인기가요,
2016-06-03,KBS2,뮤직뱅크,"  440,000 "
2016-06-03,Arirang TV,심플리케이팝,"  110,000 "
2016-06-04,MBC,음악중심,"  165,000 "
2016-06-05,SBS,인기가요,"  110,000 "
2016-06-08,MBC M,쇼 챔피언,"  110,000 "
2016-06-09,Mnet,엠카운트다운,"  220,000 "
2016-06-10,KBS2,뮤직뱅크,"  440,000 "
2016-06-10,Arirang TV,심플리케이팝,"  110,000 "
2016-06-10,KBS2,생방송 아침이 좋다,"  450,000 "
2016-06-11,MBC,음악중심,"  165,000 "
2016-06-12,SBS,인기가요,"  110,000 "
2016-06-14,SBS MTV,더 쇼,"  55,000 "
2016-06-16,Mnet,엠카운트다운,"  55,000 "
2016-06-17,KBS2,뮤직뱅크,"  440,000 "
2016-06-17,Arirang TV,심플리케이팝,"  110,000 "
2016-06-18,MBC,음악중심,"  165,000 "
2016-06-19,SBS,인기가요,"  110,000 "
2016-06-21,SBS MTV,더 쇼,"  275,000 "
2016-06-22,MBC M,쇼 챔피언,"  110,000 "
2016-06-22,MBC Every1,주간 아이돌,"  550,000 "
2016-06-23,Mnet,엠카운트다운,"  110,000 "
2016-06-24,MBC M,쇼 챔피언,"  110,000 "
2016-06-24,KBS2,뮤직뱅크,"  440,000 "
2016-06-24,Arirang TV,심플리케이팝,"  110,000 "
2016-06-24,MBC,듀엣 가요제,"  440,000 "
2016-06-25,MBC,음악중심,"  165,000 "
2016-06-26,SBS,인기가요,"  110,000 "
2016-06-28,SBS MTV,더 쇼,"  275,000 "
2016-07-01,KBS2,뮤직뱅크,"  440,000 "
2016-07-01,Arirang TV,심플리케이팝,"  110,000 "
2016-07-02,MBC,음악중심,"  165,000 "
2016-07-03,SBS,인기가요,"  110,000 "
2016-07-05,SBS MTV,더 쇼,"  55,000 "
2016-07-06,MBC M,쇼 챔피언,"  110,000 "
2016-07-07,Mnet,엠카운트다운,"  55,000 "
